Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,3,Arbi-A,13,1275002.03269999,4955,3159.0,3673.9451136788625,4592.431392098578,Stable
2026,4,Arbi-A,13,1275002.03269999,4955,3159.0,3120.9952061036724,3901.2440076295907,Stable
2026,1,Arbi-D,14,10458256.7859999,23410,21172.0,22361.410947371573,27951.763684214464,Stable
2026,2,Arbi-D,14,10458256.7859999,23410,21172.0,22070.327623134952,27587.909528918688,Stable
2026,3,Arbi-D,14,10458256.7859999,23410,21172.0,22136.384239372008,27670.48029921501,Stable
2026,4,Arbi-D,14,10458256.7859999,23410,21172.0,21583.434331796823,26979.29291474603,Stable
2026,1,Avsar,15,177073968.997945,390269,351403.0,376570.042235108,470712.552793885,Stable
2026,2,Avsar,15,177073968.997945,390269,351403.0,371529.12404764997,464411.4050595625,Stable
2026,3,Avsar,15,177073968.997945,390269,351403.0,372409.3210255627,465511.6512819534,Stable
2026,4,Avsar,15,177073968.997945,390269,351403.0,362055.27520221914,452569.0940027739,Stable
2026,1,Avsar Plus,16,57366461.5394069,131366,118677.0,129049.1854628502,161311.48182856274,Stock-out
2026,2,Avsar Plus,16,57366461.5394069,131366,118677.0,133589.734548784,166987.16818598,Stock-out
2026,3,Avsar Plus,16,57366461.5394069,131366,118677.0,134140.52043233445,167675.65054041805,Stock-out
2026,4,Avsar Plus,16,57366461.5394069,131366,118677.0,130839.52506853227,163549.40633566532,Stock-out
2026,1,Azliv,17,784.45,5,1.0,211.30574668041982,264.13218335052477,Overstock
2026,2,Azliv,17,784.45,5,1.0,317.3306196957791,396.6632746197239,Overstock
2026,3,Azliv,17,784.45,5,1.0,383.3872359328371,479.23404491604634,Overstock
2026,4,Azliv,17,784.45,5,1.0,-66.28901397727334,-82.86126747159167,Overstock
2026,1,BD PEN NEEDLE,18,2638975.8297,118126,292336.0,183803.6712442228,229754.58905527848,Stock-out
2026,2,BD PEN NEEDLE,18,2638975.8297,118126,292336.0,183462.19150989514,229327.73938736893,Stock-out
2026,3,BD PEN NEEDLE,18,2638975.8297,118126,292336.0,184097.22072809184,230121.5259101148,Stock-out
2026,4,BD PEN NEEDLE,18,2638975.8297,118126,292336.0,180246.03117907155,225307.53897383943,Stock-out
2026,1,BD SYRINGE - BAG,19,64178278.2944993,1866934,1581470.0,1867151.4661903295,2333939.332737912,Stable
2026,2,BD SYRINGE - BAG,19,64178278.2944993,1866934,1581470.0,1866661.8974992177,2333327.3718740223,Stable
2026,3,BD SYRINGE - BAG,19,64178278.2944993,1866934,1581470.0,1867857.6309053004,2334822.0386316255,Stable
2026,4,BD SYRINGE - BAG,19,64178278.2944993,1866934,1581470.0,1865628.1910903058,2332035.2388628824,Stable
2026,1,Bempion,21,863332.76,2084,2265.0,2123.8889761614078,2654.86122020176,Stable
2026,2,Bempion,21,863332.76,2084,2265.0,1912.9071714788915,2391.1339643486144,Stable
2026,3,Bempion,21,863332.76,2084,2265.0,1978.9637877159498,2473.704734644937,Stable
2026,4,Bempion,21,863332.76,2084,2265.0,1426.0138801407609,1782.5173501759512,Stable
2026,1,Busonide,22,18803221.4582981,44366,39181.0,46321.263432713815,57901.57929089227,Stock-out
2026,2,Busonide,22,18803221.4582981,44366,39181.0,44441.80402234455,55552.25502793069,Stock-out
2026,3,Busonide,22,18803221.4582981,44366,39181.0,44507.8606385816,55634.825798227,Stock-out
2026,4,Busonide,22,18803221.4582981,44366,39181.0,43678.93675762302,54598.670947028775,Stock-out
2026,1,Byvas,23,35340704.4299948,125328,112985.0,144564.99650898814,180706.24563623517,Stock-out
2026,2,Byvas,23,35340704.4299948,125328,112985.0,141760.2752683458,177200.34408543227,Stock-out
2026,3,Byvas,23,35340704.4299948,125328,112985.0,141930.8174866509,177413.52185831362,Stock-out
2026,4,Byvas,23,35340704.4299948,125328,112985.0,139303.3866332058,174129.23329150726,Stock-out
2026,1,Dapwiz,26,7085005.765,24888,22971.0,23933.2700474144,29916.587559268002,Stable
2026,2,Dapwiz,26,7085005.765,24888,22971.0,23642.18672317778,29552.733403972226,Stable
2026,3,Dapwiz,26,7085005.765,24888,22971.0,23708.243339414836,29635.304174268545,Stable
2026,4,Dapwiz,26,7085005.765,24888,22971.0,23155.29343183965,28944.116789799562,Stable
2026,1,Dapwiz Plus XR,27,3191428.28250004,7101,7161.0,7907.080158311393,9883.85019788924,Stable
2026,2,Dapwiz Plus XR,27,3191428.28250004,7101,7161.0,7696.098353628878,9620.122942036098,Stable
2026,3,Dapwiz Plus XR,27,3191428.28250004,7101,7161.0,7762.1549698659355,9702.693712332419,Stable
2026,4,Dapwiz Plus XR,27,3191428.28250004,7101,7161.0,7209.205062290746,9011.506327863433,Stable
2026,1,Dipof,28,2491295.82709997,10941,9504.0,9942.035290232834,12427.544112791042,Stable
2026,2,Dipof,28,2491295.82709997,10941,9504.0,9705.093619455212,12131.367024319015,Stable
2026,3,Dipof,28,2491295.82709997,10941,9504.0,9771.150235692272,12213.93779461534,Stable
2026,4,Dipof,28,2491295.82709997,10941,9504.0,9218.200328117078,11522.750410146347,Stable
2026,1,Diu Tansin,29,2027827.99999992,9906,8895.0,9638.562651470922,12048.203314338652,Stable
2026,2,Diu Tansin,29,2027827.99999992,9906,8895.0,9401.6209806933,11752.026225866626,Stable
2026,3,Diu Tansin,29,2027827.99999992,9906,8895.0,9467.67759693036,11834.596996162949,Stable
